date,site,parameter,index_value,description,health_advisory,health_effects
1/1/2016,Lawrenceville,PM25B,25,Good,,
1/1/2016,Flag Plaza,CO,0,Good,,
1/1/2016,Harrison Township,OZONE,31,Good,,
1/1/2016,Avalon,SO2,10,Good,,
1/1/2016,Lincoln,PM25,35,Good,,
1/1/2016,Lincoln,PM10,11,Good,,
1/1/2016,South Fayette,SO2,3,Good,,
1/1/2016,North Braddock,PM10B,12,Good,,
1/1/2016,Parkway East,CO,4,Good,,
1/1/2016,Flag Plaza,PM10,7,Good,,
1/1/2016,Liberty 2,PM25(2),28,Good,,
1/1/2016,Lawrenceville 2,SO2,1,Good,,
1/1/2016,Lawrenceville 2,CO,2,Good,,
1/1/2016,Harrison Township,NO2,3,Good,,
1/1/2016,Parkway East,NO2,6,Good,,
1/1/2016,Lawrenceville,OZONE,31,Good,,
1/1/2016,Liberty 2,PM10,6,Good,,
1/1/2016,Parkway East,PM25T,30,Good,,
1/1/2016,North Braddock,SO2,1,Good,,
1/1/2016,Glassport High Street,PM10,6,Good,,
1/1/2016,Liberty,SO2,3,Good,,
1/2/2016,North Braddock,PM10B,14,Good,,
1/2/2016,Lawrenceville,PM25B,40,Good,,
1/2/2016,South Fayette,SO2,3,Good,,
1/2/2016,Parkway East,CO,4,Good,,
1/2/2016,Lawrenceville 2,CO,2,Good,,
1/2/2016,Parkway East,NO2,8,Good,,
1/2/2016,Liberty 2,PM10,8,Good,,
1/2/2016,Lincoln,PM10,18,Good,,
1/2/2016,Lawrenceville,OZONE,21,Good,,
1/2/2016,Glassport High Street,PM10,6,Good,,
1/2/2016,Lincoln,PM25,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/2/2016,Parkway East,PM25T,39,Good,,
1/2/2016,Liberty,SO2,23,Good,,
1/2/2016,Flag Plaza,CO,0,Good,,
1/2/2016,Harrison Township,OZONE,22,Good,,
1/2/2016,Flag Plaza,PM10,7,Good,,
1/2/2016,Avalon,SO2,56,Moderate,,
1/2/2016,Lawrenceville 2,SO2,5,Good,,
1/2/2016,Harrison Township,NO2,18,Good,,
1/2/2016,Liberty 2,PM25(2),42,Good,,
1/2/2016,North Braddock,SO2,9,Good,,
1/3/2016,Parkway East,CO,6,Good,,
1/3/2016,Parkway East,NO2,11,Good,,
1/3/2016,Flag Plaza,PM10,6,Good,,
